engine,algo,tier,mode,metric,threads,batch,count,ms,rate_per_s
UA,philox4x32-10,scalar,batch,u64,1,4096,4000000,29.702500,134668798.987508
UA,philox4x32-10,scalar,batch,double,1,4096,4000000,36.961900,108219545.003209
UA,philox4x32-10,scalar,batch,normal,1,4096,4000000,151.803300,26349888.315751
UA,philox4x32-10,scalar,batch,u64,1,16384,4000000,29.729100,134548304.573245
UA,philox4x32-10,scalar,batch,double,1,16384,4000000,33.537200,119270541.461239
UA,philox4x32-10,scalar,batch,normal,1,16384,4000000,157.515100,25394390.759628
UA,philox4x32-10,scalar,batch,u64,1,65536,4000000,29.767300,134375640.339999
UA,philox4x32-10,scalar,batch,double,1,65536,4000000,34.110500,117265944.579299
UA,philox4x32-10,scalar,batch,normal,1,65536,4000000,146.137900,27371407.418205
UA,philox4x32-10,scalar,batch,u64,2,256,8000000,44.519400,179696941.106510
UA,philox4x32-10,scalar,batch,double,2,256,8000000,51.636600,154928868.230700
UA,philox4x32-10,scalar,batch,normal,2,256,8000000,244.352600,32739573.872978
UA,philox4x32-10,scalar,batch,u64,2,1024,8000000,44.094600,181428111.534104
UA,philox4x32-10,scalar,batch,double,2,1024,8000000,51.199000,156253051.814508
UA,philox4x32-10,scalar,batch,normal,2,1024,8000000,242.824400,32945618.314080
UA,philox4x32-10,scalar,batch,u64,2,4096,8000000,44.657200,179142444.961059
UA,philox4x32-10,scalar,batch,double,2,4096,8000000,51.281000,156003198.191762
UA,philox4x32-10,scalar,batch,normal,2,4096,8000000,243.776900,32816891.174922
UA,philox4x32-10,scalar,batch,u64,2,16384,8000000,45.237100,176845995.854935
UA,philox4x32-10,scalar,batch,double,2,16384,8000000,51.596200,155050178.145990
UA,philox4x32-10,scalar,batch,normal,2,16384,8000000,244.774300,32683169.763654
UA,philox4x32-10,scalar,batch,u64,2,65536,8000000,45.900000,174291939.088354
UA,philox4x32-10,scalar,batch,double,2,65536,8000000,53.231400,150287236.612387
UA,philox4x32-10,scalar,batch,normal,2,65536,8000000,245.631200,32569152.450885
UA,philox4x32-10,scalar,batch,u64,4,256,16000000,45.386600,352526957.622431
UA,philox4x32-10,scalar,batch,double,4,256,16000000,52.415000,305256128.845749
UA,philox4x32-10,scalar,batch,normal,4,256,16000000,250.238000,63939129.954503
UA,philox4x32-10,scalar,batch,u64,4,1024,16000000,45.332300,352949221.579496
UA,philox4x32-10,scalar,batch,double,4,1024,16000000,52.277400,306059597.356848
UA,philox4x32-10,scalar,batch,normal,4,1024,16000000,249.349700,64166910.960149
UA,philox4x32-10,scalar,batch,u64,4,4096,16000000,45.707900,350048897.549580
UA,philox4x32-10,scalar,batch,double,4,4096,16000000,52.697600,303619140.109935
UA,philox4x32-10,scalar,batch,normal,4,4096,16000000,249.843100,64040191.636632
UA,philox4x32-10,scalar,batch,u64,4,16384,16000000,46.351700,345186907.864602
UA,philox4x32-10,scalar,batch,double,4,16384,16000000,53.068900,301494849.210702
UA,philox4x32-10,scalar,batch,normal,4,16384,16000000,254.231700,62934716.637626
UA,philox4x32-10,scalar,batch,u64,4,65536,16000000,47.493200,336890333.745009
UA,philox4x32-10,scalar,batch,double,4,65536,16000000,54.274000,294800457.000279
UA,philox4x32-10,scalar,batch,normal,4,65536,16000000,253.492200,63118312.906387
UA,philox4x32-10,scalar,batch,u64,8,256,32000000,47.409900,674964512.342985
UA,philox4x32-10,scalar,batch,double,8,256,32000000,56.027000,571153193.893671
